Mood (feat. iann dior)	24kGoldn
Youngblood	5 Seconds of Summer
Bi Saraha	Abeer Nehme
Ba'ad Gheyabo	Ahmed Batshan
Met3ala2 Beeky	Ahmed El Ruby
Hijaz Gar	Ahmed Germani
3la 3eny	Ahmed Kamel
Kan Fe Tefl	Ahmed Kamel
Le3btek	Ahmed Kamel
Meen Fe Dol	Ahmed Kamel
Ouly	Ahmed Kamel
Aleky Eyoun	Ahmed Saad
El Youm El Helw Dah	Ahmed Saad
Kol Youm	Ahmed Saad
Sa'alt Nafsy Keteer	Ahmed Saad
Sayrena Ya Donia	Ahmed Saad
100 Bad Days	AJR
3 O'Clock Things	AJR
Bang!	AJR
Big Idea	AJR
Birthday Party	AJR
Break My Face	AJR
Bud Like You	AJR
Bummerland	AJR
Burn the House Down	AJR
Come Hang Out	AJR
Dear Winter	AJR
Don't Throw Out My Legos	AJR
Drama	AJR
The Entertainment's Here	AJR
The Good Part	AJR
Humpty Dumpty	AJR
I'm Not Famous	AJR
I'm Ready	AJR
Infinity	AJR
Karma	AJR
Livin' on Love	AJR
My Play	AJR
Next Up Forever	AJR
No Grass Today	AJR
Normal	AJR
Ordinaryish People (feat. Blue Man Group)	AJR
Pretender - Acoustic	AJR
Role Models	AJR
Sober Up (feat. Rivers Cuomo)	AJR
Thirsty	AJR
Three-Thirty	AJR
Way Less Sad	AJR
Weak	AJR
World's Smallest Violin	AJR
Wow, I'm Not Crazy	AJR
ستو أنا	Akram Hosny
Alone, Pt. II	Alan Walker
Darkside	Alan Walker
Faded	Alan Walker
Faded	Alan Walker
Ignite	Alan Walker
1994	Alec Benjamin
Annabelle's Homework	Alec Benjamin
The Book of You & I	Alec Benjamin
Boy In The Bubble	Alec Benjamin
Death Of A Hero	Alec Benjamin
Demons	Alec Benjamin
Deniro	Alec Benjamin
Devil Doesn’t Bargain	Alec Benjamin
Dopamine Addict	Alec Benjamin
Gotta Be A Reason	Alec Benjamin
Hammers	Alec Benjamin
Hill I Will Die On	Alec Benjamin
Hipocrite	Alec Benjamin
I Built A Friend (2020)	Alec Benjamin
If I Killed Someone For You	Alec Benjamin
If We Have Each Other	Alec Benjamin
I'm Not A Cynic	Alec Benjamin
Jesus in LA	Alec Benjamin
Just Like You	Alec Benjamin
Let Me Down Slowly	Alec Benjamin
Let Me Down Slowly (feat. Alessia Cara)	Alec Benjamin
Match In The Rain	Alec Benjamin
Mind Is A Prison	Alec Benjamin
Must Have Been The Wind	Alec Benjamin
Nancy Got A Haircut	Alec Benjamin
Nuance	Alec Benjamin
Oh My God	Alec Benjamin
Older	Alec Benjamin
One Wrong Turn	Alec Benjamin
Outrunning Karma	Alec Benjamin
Shadow Of Mine	Alec Benjamin
Six Feet Apart	Alec Benjamin
Speakers	Alec Benjamin
Swim	Alec Benjamin
Water Fountain	Alec Benjamin
The Way You Felt	Alec Benjamin
Backwards	Alexander Stewart
Ahkelak	Ali Loka
Matkhafesh Yamma	Ali Loka
I Found - Acoustic	Amber Run
Best Day Of My Life	American Authors
2002	Anne-Marie
Used to Be	Arrows to Athens
Worlds Apart	Ash
On My Own	Ashes Remain
Shokran	Assala Nasri
Hey Brother	Avicii
The Nights	Avicii
Wake Me Up	Avicii
Ana Ghaltan	Bahaa Sultan
Oum O'aaf	Bahaa Sultan
Ta3ala Adalla3ak	Bahaa Sultan
Diplomacy	Balqees
Dancin' in the Aisles	Barry Manilow
Eastside (with Halsey & Khalid)	benny blanco
lovely (with Khalid)	Billie Eilish
IDGAF (with blackbear)	BoyWithUke
Toxic	BoyWithUke
Two Moons	BoyWithUke
Talking to the Moon	Bruno Mars
Angel With a Shotgun	The Cab
Moon	The Cab
Stand Up	The Cab
These Are The Lies	The Cab
No Friends	Cadmium
Aam Ghareeb	Cairokee
Akher Oghnya	Cairokee
Ana El Segara	Cairokee
Ana El Sout	Cairokee
Ana Negm	Cairokee
Basrah w Atooh	Cairokee
Benkhaf	Cairokee
Benkhaf	Cairokee
Dinosaur	Cairokee
Dinosaur	Cairokee
Edhak	Cairokee
EL Keif	Cairokee
El Seka Shemal Fe Shemal	Cairokee
El Sekka Shemal	Cairokee
Ghammad Einak	Cairokee
Hatlena Bel Ba'y Leban	Cairokee
Hatlena Bel Ba'y Leban	Cairokee
Hodna	Cairokee
James Dean	Cairokee
Kan Lak Ma'aya (Feat. Umm Kulthum)	Cairokee
Kan Lak Ma'aya (Feat. Umm Kulthum)	Cairokee
Kont Faker	Cairokee
Layla	Cairokee
Ma A'ad Sagheran	Cairokee
Marboot B Astek	Cairokee
Massraheya	Cairokee
Neaady El Sharea Sawa	Cairokee
Noaata Beida	Cairokee
Samurai	Cairokee
Sarah	Cairokee
Tarantino	Cairokee
Ya Abyad Ya Eswed	Cairokee
Ya Abyad Ya Eswed	Cairokee
Yala Neghany	Cairokee
أتجنن Etganen (Seeb Nafsak)	Cairokee
القلب اشتكى	Cairokee
الملك El Malek	Cairokee
بكره الشمس تطلع Bokra Al Shams Tetlaa	Cairokee
حلمى أنا Helmy Ana	Cairokee
لو كان عندى جيتار Law Kan Andy Guitar	Cairokee
On & On	Cartoon
Something Just Like This	The Chainsmokers
This Feeling	The Chainsmokers
Attention	Charlie Puth
Light Switch	Charlie Puth
One Call Away	Charlie Puth
We Don't Talk Anymore (feat. Selena Gomez)	Charlie Puth
I Miss You (feat. Julia Michaels)	Clean Bandit
Solo (feat. Demi Lovato)	Clean Bandit
Symphony (feat. Zara Larsson)	Clean Bandit
